Local Time,UTC Time,MMSI,IMO,Name,Call Sign,Ship Type,Length,Beam,Draught,SOG,COG,Heading,Latitude,Longitude,Destination,Status,Flag,AIS Ship Type,AIS Status,AIS A,AIS B,AIS C,AIS D
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 12:41,8/7/2025 4:41,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,329.7,511,1.270317,103.8638,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 12:42,8/7/2025 4:42,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,355.7,511,1.27037,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 12:43,8/7/2025 4:43,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0,342.4,511,1.270313,103.8638,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 12:50,8/7/2025 4:50,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,0.2,511,1.270383,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 12:57,8/7/2025 4:57,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0,110.2,511,1.270333,103.8638,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 13:02,8/7/2025 5:02,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,1.7,99.7,511,1.270058,103.8641,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 13:04,8/7/2025 5:04,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,7,71.6,511,1.271392,103.8668,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 13:05,8/7/2025 5:05,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.6,187.2,511,1.26883,103.8688,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 13:07,8/7/2025 5:07,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.9,188,511,1.263602,103.869,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 13:07,8/7/2025 5:07,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.9,188,511,1.263602,103.869,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:15,8/7/2025 6:15,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9,26.5,511,1.258557,103.8678,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:16,8/7/2025 6:16,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9.3,12.2,511,1.260905,103.8687,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:17,8/7/2025 6:17,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9.5,2.3,511,1.26352,103.8691,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:18,8/7/2025 6:18,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9.8,359.1,511,1.266168,103.8689,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:19,8/7/2025 6:19,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.2,349.1,511,1.270433,103.8689,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:20,8/7/2025 6:20,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.9,318.8,511,1.271718,103.8684,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:21,8/7/2025 6:21,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,6.3,237,511,1.271753,103.8662,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:22,8/7/2025 6:22,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,6.2,228.6,511,1.270608,103.8649,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:23,8/7/2025 6:23,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,1.5,287.5,511,1.270263,103.8638,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:24,8/7/2025 6:24,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0,349.9,511,1.27033,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 14:24,8/7/2025 6:24,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0,349.9,511,1.27033,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:01,8/7/2025 7:01,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0,353.9,511,1.270345,103.8638,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:02,8/7/2025 7:02,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,1.7,129.2,511,1.270107,103.864,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:03,8/7/2025 7:03,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,5.5,67.5,511,1.270453,103.8649,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:04,8/7/2025 7:04,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,5.3,66.8,511,1.271018,103.8663,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:05,8/7/2025 7:05,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,5.1,51.6,511,1.271917,103.868,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:06,8/7/2025 7:06,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,4.8,34.2,511,1.272422,103.8685,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:07,8/7/2025 7:07,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.8,74.6,511,1.273168,103.8689,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:09,8/7/2025 7:09,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,7.8,178.9,511,1.272722,103.8696,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:10,8/7/2025 7:10,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,10.9,179.2,511,1.268612,103.8697,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:11,8/7/2025 7:11,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,11.1,178.6,511,1.267108,103.8697,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:12,8/7/2025 7:12,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,11.3,192.8,511,1.264072,103.8694,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 15:12,8/7/2025 7:12,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,11.3,192.8,511,1.264072,103.8694,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:18,8/7/2025 8:18,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,8,32.1,511,1.258532,103.8669,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:19,8/7/2025 8:19,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,7.8,29.1,511,1.259375,103.8674,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:20,8/7/2025 8:20,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,8,23.4,511,1.261342,103.8684,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:21,8/7/2025 8:21,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,8.9,7.1,511,1.263602,103.869,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:22,8/7/2025 8:22,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9.8,355.4,511,1.26757,103.8693,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:23,8/7/2025 8:23,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,9.9,349.1,511,1.269,103.8691,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:24,8/7/2025 8:24,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,7.6,242.3,511,1.271912,103.8664,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:25,8/7/2025 8:25,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,7.1,221.3,511,1.271318,103.8657,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:26,8/7/2025 8:26,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,4.9,257.1,511,1.270272,103.8642,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:27,8/7/2025 8:27,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,252.3,511,1.27031,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 16:27,8/7/2025 8:27,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,252.3,511,1.27031,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
8/7/2025 17:00,8/7/2025 9:00,563072390,,MSF HAPPY,9V6734,Passenger ship,18,6,,0.1,121.5,511,1.270318,103.8637,,,Singapore,60,,4,14,3,3
,,,,,,,,,,,,,,,,,,,,,,,
